,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.483007146224543,0.45293187846033867,-0.15355109934458783,1.213905579804709,0.09717716047945799,0.63216589990753,0.012753024145367423,-0.41350542729868983,-0.10634705422681687,0.5639834685894103,0.06957522188155821,0.21164516175242845,0.6947822736225018,9.783455405374464e-17
EGFR,0.22777518347310866,1.4539792722272475,-0.16382907110967598,1.1111070350878829,0.33130051891104134,0.09498908863609923,0.35365853039803063,-0.3130589801063513,-0.4528801922688862,0.6303157546107583,0.19999520062852727,0.23430826784662728,-0.31137278755350106,1.2181658065962816e-16
VGFR/PDGFR/FGFR,1.3872081331187376,0.9765830544045995,0.6433077777211034,2.4654516287174513,-0.7870780151040028,0.41219140630937545,1.0011021129163529,-0.6172406987553589,-0.7703416405645531,1.2489914856503934,0.34967598909976344,0.5024037550971929,0.14160366169655778,-1.3143481920892969e-16
MEK/ERK,1.0839644628439797,0.9481020166008954,-0.3233025263897555,2.3715005988492734,-0.10470637094463629,0.74921659165237,0.3607220206169239,-0.7443546729287197,-0.5667343985320926,1.2185948365864099,0.27364103300763093,0.45425183942040265,0.3964139513697353,5.0978700517751215e-17
PI3K/mTOR,-1.122049045849997e-16,2.1691982588146372e-16,1.5290275577323895e-16,4.23086939201029e-16,0.9999999999999991,-5.3692690705466055e-17,-2.0513171647372904e-16,-8.892666966495291e-17,2.283652687618866e-16,6.447332243608313e-16,-1.256709105772802e-16,1.5421656917251602e-16,-8.445166233417232e-17,2.650614705940005e-16
PKC,1.3455779482645476e-16,2.960271486182005e-16,1.3455779482645476e-16,1.614693537917457e-16,-6.997005330975648e-16,1.0000000000000002,-2.691155896529095e-16,-2.623876999115868e-16,1.0764623586116381e-16,1.3186663892992567e-15,1.0764623586116381e-16,-9.419045637851833e-17,-3.498502665487824e-16,4.533875198891779e-17
p38,0.6272093177916735,0.5781749532294143,-0.2255548939648015,1.4433595365110583,0.2020173374127121,0.0037287651977494737,1.4175454720772518,-0.13567693547216642,-0.46569603248064684,0.5984267180252522,0.20264736628301439,0.31294523855554157,0.4274770478330974,4.401031792825448e-17
JNK,0.7073868723799425,0.4939536451225857,0.09414656261803932,1.2475018219129834,0.06662888394642229,-0.6409697663804482,0.8576040067853954,0.6927750514531904,0.17929698630311458,-0.21441201846398336,-0.28169626719931995,0.1640375146955546,0.9818298001743309,-8.545804209367447e-17
Aurora-A,-0.022936246662965547,-0.041431706122888025,0.1886162591050547,-0.10158372344715412,-0.04198400450460393,0.18049543262359258,-0.376281378585029,0.3661251128833268,1.4071390586862513,-0.5473254764042758,0.08778458456877354,-0.20145213165398315,0.0536197467515334,1.4690304638722415e-16
RIPK1,1.4890806508777403,1.1076926755769823,-0.3985499823531138,2.789368473117071,-1.4024536492226507,1.0268376197892248,0.28738186069852906,-0.730844869954126,-0.6628208266356669,2.8189009945738572,0.5471406052553891,0.8035632839545155,0.6586416933557515,-5.0349387459918397e-17
IKK2,-0.43301978076216346,-0.13622463906543741,0.3429734909786664,-0.36400474638068325,0.4075008629609012,-0.4690271236741426,-0.04644371653698838,0.6739632275103526,1.0521495671392669,-1.4644061546373985,0.6650196204883737,-0.5864032209026745,0.6632843030219477,2.932748564554125e-17
JAK,1.351318529176219,-0.4285289456050749,-0.19113472504934123,-0.9173981849252213,-4.355193407823814,2.749186562478485,-1.5755328812411162,0.008109184897020281,1.47026756466266,2.1530160313429287,0.41137961542434115,1.2113965444168122,0.6636666691804427,-4.158313315200628e-16
GSK3B,0.09699176125090372,0.21160871734977135,-0.060990628692436,0.5171388372355463,0.239419327276906,0.4062909918842617,0.18027913817120722,-0.1154326376066084,0.12089253228638284,0.13062318954607244,-0.03723494746488675,0.07821121232466163,0.8959769150589966,4.185074849647979e-17
DPD,1.8287272425339434,0.8383383668629872,-0.12475051022274548,2.169964462721415,-4.977868674174108,1.5182078574186084,-0.9726170835527166,0.1886127632389801,0.35368305561503705,4.840581511090719,1.280725642322583,1.137336369125684,-0.7143633628478203,0.9999999999999997
