ERK,AKT,mTOR,SRC,CDK,PKC,IRS,MYC,DPD
0,0,0.562638010719323,0.564489642756417,0.391160379542888,0,0.559820216521637,0,0
0.46469341972691,0,0,0,0.457771429214975,0.462304167990833,0.460477062211142,0.461684882184563,0
0,0.51592136413115,0,0.476469196237981,0.506496617414027,0.498901668232723,0,0,0
0.718690942167919,0,0,0,0,0.70951216119684,0,0.712847861663133,0
0.585048089973825,0,0.57877010813476,0,0,0,0,0.583624238737935,0
0,0,0,0,0,0,0,0,0
0.501201036412273,0,0.505566863835427,0,0,0.499053563465224,0,0,0
0,0,0,0,0.107882861882715,0,0,0,0
0,0,0.469095379810841,0.477404634251289,0,0.472662860843123,0,0,0
