,LY364947,EGF,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-1.0936582671183992,-0.4,-0.27721783509642395,0.135826197259766,0.04070729971846967,-0.10120962440539691,,-0.10960734764068769,0.1088921734405767,-0.2929470010690213,-0.3205411192870965,-0.35932076322726925,-0.035546967033826996,-0.11458189124828018
EGFR,-0.3657737599632778,-0.6,-0.05087340531436045,-1.058298891898027,-0.641558032681124,-0.3715273637270017,,-0.07383040132147996,-0.23239137077115668,-0.1522938201410886,-0.07544240341895245,0.09064288558633478,-0.512252495563153,0.15574450978022245
VGFR/PDGFR/FGFR,-0.49405020982995246,-0.6666666666666666,-0.2223405328926639,0.06105042134732606,0.23874508332059852,0.2937229478327214,,-0.187694116746753,0.04639528063477546,-0.1613092543281799,-0.15730598375042795,-0.04225651916283676,-0.19115244987985622,0.06934623661077848
MEK/ERK,-0.42064835529007927,-0.6129032258064516,-0.14491849825941622,-0.9500059976040093,-0.24288422675766463,-0.42281327373057676,,-0.3391550325754649,-0.040327959109952564,-0.25393326406844424,-0.10945417243992639,-0.199474815744899,-0.3528747295647047,-0.12004400731430134
PI3K/mTOR,-0.18464582826234385,0.05263157894736842,-0.14715534255468768,-0.32802507529058933,-1.0568467548105618,-0.6826390732796274,,0.1763334899890488,0.08547154647906774,-0.23694075262462788,-0.26046724969633384,-0.2530775438769836,-0.13779173679969542,0.30487820569755814
PKC,-0.08293757837753069,-0.21951219512195122,-0.32217890221556184,-0.2694906763791904,-0.038350387089855005,-0.2679884963046966,,0.09972120550170048,-0.005779663848050214,-0.05162463585887442,-0.01329915773282663,-0.17514587733939904,-0.27551507614635157,-0.042244688563317624
p38,-0.18558834425524348,-0.1836734693877551,-0.11232532408745632,-0.34487105182080335,0.36949486689111743,0.07117719901189586,,-0.7774300916685698,-0.05480597257642199,0.17038473111137262,0.11584601014309517,0.019654514111798027,-0.3240059720870751,-0.22473848135685148
JNK,-0.22304023936515202,-0.3333333333333333,-0.43933609551265,0.26061345525056745,0.4401392442563845,0.1728831685312544,,-0.21443790153969386,-0.6679926095952191,-0.2508288652300174,-0.2191185395877541,0.1296159070731331,-0.3936972532158285,-0.3478677723908044
Aurora-A,-1.1728545842698583,-1.0,-1.2416486517040992,0.9052676259094422,0.8660611650206937,-1.0906557392072733,,-0.668628910972637,-1.4795461266542411,-1.361408995444133,-1.1167305155661864,-1.0906557392072733,-1.3783463919429846,-1.4743419821374175
RIPK1,-1.4964578986707446,-1.0,0.12020954510648052,-0.9711873945955725,-0.6876388482476001,-1.3933932989209383,,-0.20980578030454777,-0.6018714972741954,-0.4724446232513836,-1.0420376115030483,-0.7571360894553192,-0.0019286927641492813,-0.06595930829376404
IKK2,-1.3680216506064042,-1.0,-1.7229523697976878,0.20206514065895978,-0.35805674902907986,-0.3067652888853148,,-0.4868296325740798,-0.5569554194985205,-0.9438351481862551,-0.018340595480820843,-0.7802183008810257,0.18722096821641876,-0.0008159500223071381
JAK,0.021932007811209103,-1.0,-0.4952426896491113,-1.3515817433917772,-0.39003318258130665,-0.3521625043869062,,-0.6671726032536538,-0.525468854781079,-0.1425248131813451,0.39650965604507016,0.35545831724791965,-0.6893576504252508,-0.802888568528429
GSK3B,0.15893026925625944,0.08571428571428572,-0.16204007879808252,0.18941700430035316,0.3014155625489155,0.21116745518327804,,-0.23575605668592076,-0.13628516012872594,0.20183039113747595,0.2648927712179249,0.07841164832871358,-0.22072032966596217,-0.654455066845892
DPD,-0.774840972188203,-0.7038399118321168,-0.6205118261361955,-0.49220442050572805,1.0540118362525304,1.0824984257466168,,-0.5540742644086193,-0.10476072841732686,-0.5575125094624149,-0.781893935679074,-0.4301515039897564,0.44994678961221635,-0.33118735818173217
