,ERKi_1,ERKi_2,ERKi_3,AKTi_1,AKTi_2,AKTi_3,mTORi_1,mTORi_2,mTORi_3,SRCi_1,SRCi_2,SRCi_3,CDKi_1,CDKi_2,CDKi_3,PKCi_1,PKCi_2,PKCi_3,ERKi_4,ERKi_5,ERKi_6,AKTi_4,AKTi_5,AKTi_6,mTORi_4,mTORi_5,mTORi_6,SRCi_4,SRCi_5,SRCi_6,CDKi_4,PKCi_4,PKCi_5,PKCi_6
ERK,-0.484303282516941,-0.728999175306806,-0.46150458584623,-0.223289852976681,-0.429742444350351,-0.121697646040797,-0.184207442933762,-0.2537172076455,-0.253815928289458,-0.218100085769077,-0.269375398071256,-0.068150645278061,0.045472560770509,0.018848923871972,-0.051003445247217,0.208894546934561,0.260168144681014,0.217650453267626,-0.671601787886421,-0.864483095909788,-0.701034456152789,-0.136631584094958,-0.196496614407154,-0.262983470060178,0.010714160786163,-0.176545666243442,-0.008662418227193,-0.2125934341686,-0.170520446302148,-0.145405201408797,0.89577295024664,0.368159126908326,0.350745053642839,0.403153262783342
AKT,0.025549286150531,0.142960261324689,-0.057656161517742,-1.32754085726861,-1.49934246033183,-1.49371504176325,0.806127812835699,0.932736021928957,0.832572875415483,-0.053794538933512,-0.129378966232026,-0.115529691010719,0.223897423062989,0.011927889304509,0.141808685055538,-0.254600837131737,-0.024568230596937,-0.146630894946606,0.099712835241892,0.301769339119238,0.215883554539081,-1.52238476053904,-1.56774558648363,-1.55626983892817,1.02936327062843,1.06512332254335,1.18342029922213,-0.122542188672398,-0.234448339093152,-0.120268376204089,-0.1810130724507,0.029694008520751,0.137907748486665,0.208120287190853
mTOR,-0.513349570879492,-0.44149253359501,-0.519916929450247,-0.676236697857723,-0.738430023683337,-0.663268763642846,-1.0280612594665,-0.909579679322409,-1.05127148652795,-0.377724332885216,-0.417535461019407,-0.320571657841313,-0.560434812717451,-0.268969104980126,-0.441284404367099,-0.455072134565446,-0.536987257003245,-0.434588940994206,-0.496762262055971,-0.428450062030191,-0.548145694564436,-0.751716027623882,-0.69841634288232,-0.781754068583281,-1.08133705609539,-1.09163108128281,-1.1690454940787,-0.400929485496959,-0.542298712385747,-0.385510572994527,-0.90053162455265,-0.306615680083023,-0.409369875061801,-0.221730142343117
SRC,-0.058830030762786,-0.040773386575234,-0.14104438537385,0.002478420584238,-0.065766816404739,-0.127844819131909,0.0840535222765,-0.005207330981753,-0.135457002061431,-0.109171640993484,-0.223141915686993,-0.366899251039917,0.001615174815879,-0.083208183173301,-0.117100311655556,0.092376420445247,-0.187702650504802,0.083681844134647,0.034951132787982,0.031328565466658,-0.037364400002144,0.083391820417113,-0.163297948439054,-0.061854749933783,0.054917032909731,-0.154017923292436,-0.166953437801428,-0.154425429326098,-0.222519231742748,-0.368428088823906,1.14874550672661,0.067418377764941,-0.026943117235881,-0.058784268856292
CDK,-0.364819102907993,-0.396310972595037,-0.488584139544304,-0.326701248761561,-0.292954846401909,-0.362509096515135,-0.127495237814662,-0.080629247906494,-0.279676905848133,-0.070635562897526,-0.058369958689711,-0.288032782521245,-0.34924406967121,-0.437437202937531,-0.440929179649013,-0.284732579588964,-0.180941766951235,-0.302951414436286,-0.611151809571672,-0.680322611853966,-0.614612921618723,-0.101749504776796,-0.182602154839387,-0.192525807249052,-0.102435706065519,-0.229987912803692,-0.184915261653001,-0.286535204465973,-0.32125936656534,-0.291740672904603,-1.08884718107148,-0.133552260260898,-0.253778265903399,-0.222097625358314
PKC,0.075592764866197,0.117812059489163,0.215723586937145,-0.146278963326637,-0.014174959573136,0.097331120969671,0.008978042230894,-0.10997007145989,0.168701925523339,0.029482181484139,-0.077461399496475,0.277942351856903,-0.183891131874607,-0.099598978114235,-0.081054898625415,-0.455072134565446,-0.536987257003245,-0.434588940994206,0.10470908021255,0.119375402249185,0.207397716956838,0.102128114153901,0.1083814605237,0.055293031803492,0.014282540501772,-0.026761174539521,0.075425593044176,-0.045208378313957,0.02871362183455,0.116034270003681,0.12277585549547,-0.306615680083023,-0.409369875061801,-0.221730142343117
IRS,-0.014782879862318,-0.015293669749974,-0.145785170660666,0.267035568027346,0.4601552941201,0.265428076744985,0.525516754899073,0.469920159620502,0.619147780896308,-0.010898717133164,-0.051353653858364,0.155864436945945,0.292289240604263,0.000194695602098,0.333011820729467,0.602343641105128,0.552012319651334,0.667158313400593,-0.054767815419702,-0.008870728309101,-0.308578393397156,0.471411220901207,0.410105191906642,0.468404404000123,0.519497693800845,0.380042610497235,0.390884891571656,0.053574584797441,-0.219374168122297,-0.087310221711821,0.964667792293704,0.745534938869732,0.746990578198419,0.687398494875489
DPD,-0.051987982450168,-0.118486900490611,-0.053811252398132,0.001902514423395,-0.086230686338532,0.014596545040738,0.061592823749697,-0.041039113718432,0.044484791455611,-0.225115407936099,-0.185015871779576,-0.130825247853188,0.260918293480026,0.336179190365617,0.281465348802919,-0.221083518868528,-0.095725561203629,-0.124743128245235,-0.368443252078427,-0.366330910171942,-0.356871541388639,-0.13564550233042,-0.106196265733182,-0.138357616789594,-0.017209329378335,0.049847266072533,0.131751149311565,-0.292664549414273,-0.32690375300617,-0.158927791790864,-0.874473573678768,-0.380180611173001,-0.303667910358832,-0.238857174410842
,-0.793876899523125,-0.41707391013905,-0.637518300420112,-1.34181473070442,-1.17996040356777,-1.1477876413727,-1.70505631008622,-1.64362154555221,-1.63827199676441,-0.341909491785229,-0.399564703151342,0.571430443997187,-0.617795430636612,-0.71394579107946,-0.576704160445622,-0.843107969263715,-0.947060628225734,-0.603273373475861,-0.946316474733104,-0.918163248853675,-0.719765116622285,-1.44805841187297,-1.36399128172687,-1.37665060066415,-1.89372138623919,-1.79725367913736,-1.84586774714129,-0.887558550385203,-0.74362883063178,-0.628094040238282,-1.69004040009633,-1.11455177024658,-1.19339059980779,-1.18271281800412
