,ERKi_1,ERKi_2,ERKi_3,AKTi_1,AKTi_2,AKTi_3,mTORi_1,mTORi_2,mTORi_3,SRCi_1,SRCi_2,SRCi_3,CDKi_1,PKCi_1,PKCi_2,PKCi_3
ERK,-0.6716017878864211,-0.8644830959097882,-0.7010344561527891,-0.13663158409495774,-0.19649661440715357,-0.26298347006017764,0.01071416078616316,-0.1765456662434418,-0.00866241822719266,-0.2125934341686004,-0.1705204463021476,-0.1454052014087968,0.8957729502466396,0.3681591269083256,0.3507450536428388,0.4031532627833421
AKT,0.09971283524189158,0.3017693391192385,0.21588355453908073,-1.5223847605390406,-1.5677455864836334,-1.55626983892817,1.0293632706284337,1.0651233225433532,1.1834202992221343,-0.12254218867239797,-0.23444833909315158,-0.1202683762040889,-0.1810130724507,0.029694008520751193,0.13790774848666523,0.20812028719085274
mTOR,-0.4967622620559713,-0.42845006203019115,-0.5481456945644361,-0.7517160276238819,-0.69841634288232,-0.7817540685832806,-1.0813370560953905,-1.0916310812828123,-1.1690454940786998,-0.40092948549695856,-0.5422987123857469,-0.3855105729945273,-0.9005316245526502,-0.3066156800830233,-0.4093698750618012,-0.22173014234311678
SRC,0.03495113278798155,0.03132856546665784,-0.03736440000214361,0.08339182041711311,-0.1632979484390543,-0.06185474993378278,0.05491703290973062,-0.15401792329243622,-0.16695343780142774,-0.1544254293260976,-0.22251923174274815,-0.3684280888239063,1.148745506726609,0.06741837776494042,-0.026943117235880807,-0.05878426885629168
CDK,-0.6111518095716723,-0.6803226118539656,-0.6146129216187232,-0.10174950477679619,-0.18260215483938705,-0.1925258072490523,-0.1024357060655195,-0.22998791280369163,-0.18491526165300143,-0.28653520446597297,-0.32125936656533965,-0.2917406729046035,-1.088847181071478,-0.13355226026089784,-0.25377826590339914,-0.22209762535831393
PKC,0.10470908021254983,0.11937540224918533,0.20739771695683756,0.10212811415390059,0.10838146052370008,0.05529303180349153,0.014282540501772224,-0.026761174539521378,0.07542559304417615,-0.04520837831395735,0.02871362183455005,0.11603427000368104,0.12277585549547,-0.3066156800830233,-0.4093698750618012,-0.22173014234311678
IRS,-0.054767815419701854,-0.008870728309101072,-0.3085783933971556,0.4714112209012071,0.4101051919066423,0.46840440400012295,0.5194976938008454,0.38004261049723453,0.3908848915716557,0.053574584797440664,-0.2193741681222968,-0.08731022171182073,0.9646677922937039,0.7455349388697321,0.7469905781984192,0.6873984948754888
MYC,-0.36844325207842704,-0.36633091017194225,-0.35687154138863914,-0.13564550233041994,-0.10619626573318199,-0.13835761678959382,-0.017209329378334914,0.049847266072532516,0.131751149311565,-0.2926645494142731,-0.3269037530061697,-0.1589277917908642,-0.8744735736787683,-0.3801806111730012,-0.3036679103588323,-0.23885717441084237
DPD,-0.9463164747331041,-0.9181632488536747,-0.7197651166222847,-1.448058411872968,-1.3639912817268713,-1.3766506006641466,-1.8937213862391882,-1.7972536791373577,-1.8458677471412943,-0.8875585503852035,-0.74362883063178,-0.6280940402382823,-1.690040400096326,-1.1145517702465797,-1.1933905998077947,-1.182712818004119
